eta,max_depth,min_child_weight,subsample,colsample_bytree,nrounds,nrounds_auc_mean,test_auc_mean,nrounds_auc_mean_sd,test_auc_mean_sd,val_auc_mean,val_auc_mean_sd,time_secs
0.02,6,5,0.6,0.6,1700,1139,0.964091,1037,0.963725,0.965230841,0.965153341,407
0.02,6,5,0.6,0.7,1700,1245,0.96405,1110,0.963667,0.96513451,0.965106434,444
0.02,6,5,0.6,0.8,1700,1357,0.964032,1057,0.963682,0.965130146,0.965027269,490
0.02,6,5,0.6,0.9,1700,1197,0.964114,1196,0.963731,0.965191544,0.965190182,521
0.02,6,5,0.6,1,1700,1134,0.964139,1147,0.963906,0.965201162,0.965205425,547
0.02,6,5,0.7,0.6,1700,1140,0.964258,1145,0.963959,0.965350359,0.965350683,443
0.02,6,5,0.7,0.7,1700,1213,0.964254,1140,0.963962,0.965217562,0.965192238,443
0.02,6,5,0.7,0.8,1700,1089,0.964205,1089,0.963863,0.965206431,0.965206431,466
0.02,6,5,0.7,0.9,1700,1128,0.964191,1121,0.963777,0.965249528,0.965245874,501
0.02,6,5,0.7,1,1700,1145,0.964175,1145,0.963798,0.96527786,0.96527786,544
0.02,6,5,0.8,0.6,1700,1137,0.964253,1172,0.963946,0.96530892,0.965322897,395
0.02,6,5,0.8,0.7,1700,1132,0.964274,1121,0.963942,0.965232233,0.965237681,420
0.02,6,5,0.8,0.8,1700,1323,0.964267,1262,0.963989,0.965347451,0.965343047,482
0.02,6,5,0.8,0.9,1700,1136,0.964237,1270,0.96396,0.965409596,0.965462017,499
0.02,6,5,0.8,1,1700,1294,0.96429,1271,0.963995,0.965453674,0.965457794,549
0.02,6,5,0.9,0.6,1700,1383,0.964388,1223,0.964096,0.965646681,0.96553839,406
0.02,6,5,0.9,0.7,1700,1157,0.964357,1154,0.96404,0.965320136,0.965317588,429
0.02,6,5,0.9,0.8,1700,1202,0.96431,1202,0.964103,0.965374809,0.965374809,452
0.02,6,5,0.9,0.9,1700,1408,0.964331,1216,0.964102,0.965481659,0.965428965,503
0.02,6,5,0.9,1,1700,1270,0.964397,1295,0.96419,0.96544596,0.965443556,528
0.02,6,5,1,0.6,1700,1258,0.964202,1244,0.964024,0.965237947,0.965226427,381
0.02,6,5,1,0.7,1700,1500,0.963986,1234,0.963707,0.965344346,0.965266153,431
0.02,6,5,1,0.8,1700,1225,0.964011,1214,0.963665,0.965303533,0.965303297,437
0.02,6,5,1,0.9,1700,1237,0.963916,1237,0.96376,0.965219931,0.965219931,469
0.02,6,5,1,1,1700,1062,0.963806,1045,0.963604,0.964987735,0.964980444,504
0.02,6,10,0.6,0.6,1700,1234,0.964054,1038,0.963688,0.965257786,0.965179221,411
0.02,6,10,0.6,0.7,1700,1139,0.964068,1146,0.963705,0.96505836,0.965062652,437
0.02,6,10,0.6,0.8,1700,1016,0.964032,1026,0.963732,0.965067427,0.965068625,462
0.02,6,10,0.6,0.9,1700,1200,0.964074,1092,0.963722,0.965046209,0.965019631,501
0.02,6,10,0.6,1,1700,1192,0.964078,1143,0.963789,0.96518741,0.965175102,541
0.02,6,10,0.7,0.6,1700,1172,0.964216,1185,0.963896,0.965293437,0.965299141,402
0.02,6,10,0.7,0.7,1700,1138,0.964117,1144,0.963831,0.965240167,0.965239117,440
0.02,6,10,0.7,0.8,1700,1131,0.964196,1132,0.963806,0.965222031,0.965222288,464
0.02,6,10,0.7,0.9,1700,1124,0.964095,1132,0.963735,0.965229202,0.965230029,497
0.02,6,10,0.7,1,1700,1152,0.96421,1152,0.963808,0.965251104,0.965251104,528
0.02,6,10,0.8,0.6,1700,1210,0.964222,1141,0.963809,0.96541581,0.965378791,408
0.02,6,10,0.8,0.7,1700,1214,0.964185,1146,0.963794,0.965332714,0.965277136,438
0.02,6,10,0.8,0.8,1700,1247,0.964229,1268,0.96401,0.965403134,0.965407783,743
0.02,6,10,0.8,0.9,1700,1241,0.964269,1244,0.964021,0.965413112,0.965411324,813
0.02,6,10,0.8,1,1700,1212,0.964225,1206,0.963812,0.965336657,0.965341911,883
0.02,6,10,0.9,0.6,1700,1279,0.964425,1146,0.964094,0.965536865,0.965465533,591
0.02,6,10,0.9,0.7,1700,1373,0.964372,1196,0.964089,0.965391826,0.965356094,672
0.02,6,10,0.9,0.8,1700,1268,0.964391,1199,0.964103,0.965439565,0.965410378,729
0.02,6,10,0.9,0.9,1700,1216,0.964309,1216,0.964001,0.965438118,0.965438118,793
0.02,6,10,0.9,1,1700,1216,0.96431,1235,0.964136,0.965403009,0.965389365,866
0.02,6,10,1,0.6,1700,1375,0.964275,1297,0.964026,0.965283999,0.965288093,577
0.02,6,10,1,0.7,1700,1453,0.964152,1363,0.963876,0.965382961,0.96535286,654
0.02,6,10,1,0.8,1700,1321,0.964091,1498,0.963811,0.965269299,0.965333714,730
0.02,6,10,1,0.9,1700,1103,0.963963,1220,0.963784,0.965098621,0.965184614,761
0.02,6,10,1,1,1700,1091,0.963929,1171,0.963755,0.965144473,0.965190108,822
0.02,6,20,0.6,0.6,1700,1328,0.963717,1215,0.963522,0.964994933,0.964984054,626
0.02,6,20,0.6,0.7,1700,1201,0.963696,1201,0.963538,0.964959428,0.964959428,684
0.02,6,20,0.6,0.8,1700,1205,0.963672,1172,0.963529,0.96498568,0.964975836,760
0.02,6,20,0.6,0.9,1700,1347,0.963757,1360,0.96346,0.964948721,0.96494703,859
0.02,6,20,0.6,1,1700,1204,0.96379,1143,0.963545,0.964970902,0.964939638,907
0.02,6,20,0.7,0.6,1700,1138,0.963992,1138,0.963768,0.965113212,0.965113212,597
0.02,6,20,0.7,0.7,1700,1140,0.963915,1116,0.963641,0.965074553,0.965080412,667
0.02,6,20,0.7,0.8,1700,1111,0.963779,1111,0.963595,0.96503866,0.96503866,735
0.02,6,20,0.7,0.9,1700,1129,0.96393,1133,0.963782,0.964969429,0.964977197,811
0.02,6,20,0.7,1,1700,1141,0.964,1214,0.963843,0.965040687,0.965074048,896
0.02,6,20,0.8,0.6,1700,1280,0.964159,1266,0.963917,0.96532593,0.965321923,602
0.02,6,20,0.8,0.7,1700,1384,0.964036,1147,0.963817,0.965263236,0.965180958,686
0.02,6,20,0.8,0.8,1700,1343,0.964121,1275,0.963929,0.965220632,0.965218914,755
0.02,6,20,0.8,0.9,1700,1294,0.964069,1263,0.963971,0.965330602,0.965317231,821
0.02,6,20,0.8,1,1700,1204,0.964061,1195,0.963728,0.96526591,0.965254008,878
0.02,6,20,0.9,0.6,1700,1352,0.964256,1352,0.963957,0.96547681,0.96547681,600
0.02,6,20,0.9,0.7,1700,1214,0.964258,1199,0.963967,0.965205535,0.965208659,653
0.02,6,20,0.9,0.8,1700,1305,0.964133,1225,0.963907,0.965316101,0.965297935,735
0.02,6,20,0.9,0.9,1700,1215,0.964112,1215,0.963904,0.965278991,0.965278991,794
0.02,6,20,0.9,1,1700,1198,0.964093,1212,0.963857,0.965271171,0.965275747,863
0.02,6,20,1,0.6,1700,1305,0.964112,1305,0.963855,0.965262285,0.965262285,571
0.02,6,20,1,0.7,1700,1316,0.964065,1317,0.96386,0.965176364,0.965176776,639
0.02,6,20,1,0.8,1700,1376,0.963972,1376,0.963765,0.96525871,0.96525871,715
0.02,6,20,1,0.9,1700,1231,0.963904,1234,0.963605,0.965103406,0.965104958,765
0.02,6,20,1,1,1700,1329,0.963867,1288,0.963541,0.965203122,0.965195974,848
