eta,max_depth,min_child_weight,subsample,colsample_bytree,nrounds,N,best_nrounds,test_auc_mean,test_auc_std,val_auc,time_secs
0.02,5,5,0.6,0.6,2000,1,1867,0.96413,0.000311,0.965206074,768
0.02,5,5,0.6,0.7,2000,2,1452,0.964142,0.000365,0.965206457,799
0.02,5,5,0.6,0.8,2000,3,1461,0.964092,0.000367,0.965171007,878
0.02,5,5,0.6,0.9,2000,4,1515,0.964195,0.000412,0.96518232,961
0.02,5,5,0.6,1,2000,5,1644,0.964193,0.000327,0.965173647,1058
0.02,5,5,0.7,0.6,2000,6,1635,0.964276,0.000313,0.965316371,742
0.02,5,5,0.7,0.7,2000,7,1627,0.96424,0.000349,0.965206998,814
0.02,5,5,0.7,0.8,2000,8,1424,0.964248,0.000325,0.965209031,866
0.02,5,5,0.7,0.9,2000,9,1632,0.964298,0.000283,0.965300168,970
0.02,5,5,0.7,1,2000,10,1592,0.964281,0.000383,0.965316962,1041
0.02,5,5,0.8,0.6,2000,11,1820,0.964403,0.00029,0.965439721,752
0.02,5,5,0.8,0.7,2000,12,1710,0.964285,0.000377,0.965297084,818
0.02,5,5,0.8,0.8,2000,13,1710,0.964327,0.00037,0.965338738,901
0.02,5,5,0.8,0.9,2000,14,1627,0.964323,0.000242,0.965395393,965
0.02,5,5,0.8,1,2000,15,1772,0.964211,0.00031,0.965423898,1065
0.02,5,5,0.9,0.6,2000,16,1786,0.964415,0.000242,0.965489437,748
0.02,5,5,0.9,0.7,2000,17,1514,0.964419,0.000243,0.965365963,792
0.02,5,5,0.9,0.8,2000,18,1814,0.964432,0.000261,0.965451512,908
0.02,5,5,0.9,0.9,2000,19,1782,0.964388,0.000148,0.965482929,984
0.02,5,5,0.9,1,2000,20,1460,0.964352,0.000238,0.965401513,1009
0.02,5,5,1,0.6,2000,21,1638,0.964189,0.00022,0.965263212,720
0.02,5,5,1,0.7,2000,22,1643,0.96419,0.000289,0.965142747,782
0.02,5,5,1,0.8,2000,23,1692,0.964057,0.000233,0.965185882,866
0.02,5,5,1,0.9,2000,24,1964,0.963899,0.000125,0.965303223,978
0.02,5,5,1,1,2000,25,1630,0.963872,0.000213,0.96503945,996
0.02,5,10,0.6,0.6,2000,26,1661,0.964081,0.000319,0.965098873,790
0.02,5,10,0.6,0.7,2000,27,1636,0.964063,0.00029,0.965182626,864
0.02,5,10,0.6,0.8,2000,28,1660,0.964064,0.000364,0.965130268,944
0.02,5,10,0.6,0.9,2000,29,1511,0.964052,0.000289,0.965133991,1001
0.02,5,10,0.6,1,2000,30,1659,0.964124,0.000407,0.965141686,1106
0.02,5,10,0.7,0.6,2000,31,2000,0.964194,0.000269,0.965284971,822
0.02,5,10,0.7,0.7,2000,32,1627,0.964227,0.000297,0.965237934,859
0.02,5,10,0.7,0.8,2000,33,1697,0.964216,0.000263,0.965254396,948
0.02,5,10,0.7,0.9,2000,34,1591,0.96421,0.000427,0.96529089,1014
0.02,5,10,0.7,1,2000,35,1694,0.964215,0.000308,0.965239643,1104
0.02,5,10,0.8,0.6,2000,36,1887,0.964248,0.000403,0.965369597,810
0.02,5,10,0.8,0.7,2000,37,1764,0.964283,0.000356,0.965327412,871
0.02,5,10,0.8,0.8,2000,38,1762,0.964284,0.000327,0.965320118,960
0.02,5,10,0.8,0.9,2000,39,1631,0.964289,0.00028,0.965353289,1004
0.02,5,10,0.8,1,2000,40,1711,0.964204,0.000364,0.965351749,1099
0.02,5,10,0.9,0.6,2000,41,1725,0.964453,0.000372,0.965510543,800
0.02,5,10,0.9,0.7,2000,42,1565,0.964396,0.000244,0.96530791,846
0.02,5,10,0.9,0.8,2000,43,1820,0.964399,0.000309,0.9654446,950
0.02,5,10,0.9,0.9,2000,44,1519,0.964326,0.000288,0.965387444,983
0.02,5,10,0.9,1,2000,45,1510,0.964359,0.000297,0.965336694,1063
0.02,5,10,1,0.6,2000,46,1790,0.964242,0.000281,0.965371547,789
0.02,5,10,1,0.7,2000,47,1597,0.964209,0.000275,0.965159684,836
0.02,5,10,1,0.8,2000,48,1619,0.964164,0.000188,0.965224343,905
0.02,5,10,1,0.9,2000,49,1689,0.964089,0.000237,0.96518472,985
0.02,5,10,1,1,2000,50,1469,0.963955,0.000215,0.96497072,1042
0.02,5,15,0.6,0.6,2000,51,1867,0.963891,0.00028,0.965123542,865
0.02,5,15,0.6,0.7,2000,52,1605,0.963949,0.000204,0.965095474,906
0.02,5,15,0.6,0.8,2000,53,1613,0.963927,0.000297,0.965051566,982
0.02,5,15,0.6,0.9,2000,54,1510,0.963935,0.000268,0.965056917,1070
0.02,5,15,0.6,1,2000,55,1656,0.963996,0.000252,0.965091822,1150
0.02,5,15,0.7,0.6,2000,56,1821,0.964032,0.000137,0.965234137,860
