"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",14,0.959643,0.00051675,0.960021147913288,114,319,0
"PersonalField10A",2,0.95925125,0.000513,0.959369429709861,185,319,0.000651718203426577
"CoverageField8",13,0.95883475,0.00056675,0.959177854687374,111,319,0.000843293225913366
"SalesField4",12,0.958738,0.0005215,0.959044458254533,194,319,0.000976689658754748
"PersonalField13",11,0.95873025,0.00061375,0.959361694392037,192,319,0.000659453521250297
"PersonalField84",10,0.95864325,0.00044925,0.959076338286648,194,319,0.000944809626639564
"PersonalField27",7,0.95789,0.00061,0.958207791204173,186,319,0.00181335670911431
"PersonalField12",9,0.9574445,0.00049025,0.957815121439102,190,319,0.00220602647418533
"PersonalField2",8,0.9565135,0.00051225,0.956880721371974,189,319,0.00314042654131386
"SalesField1B",6,0.95430925,0.00053925,0.954985418849026,181,319,0.00503572906426186
"PersonalField1",5,0.95316075,0.00042325,0.953963057418419,192,319,0.00605809049486894
"SalesField5",3,0.95069125,0.0007975,0.951762518865666,187,319,0.00825862904762198
"Field7",4,0.94934125,0.000554,0.949523019738644,180,319,0.0104981281746431
"PropertyField37",1,0.9381915,0.0004705,0.938610335132884,193,319,0.0214108127804039
