"SelectedVars","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"SalesField1B",24,0.9477005,0.00065475,0.947671859024787,157,3561,0
"SalesField1A",23,0.9476625,0.000682,0.947553020686719,151,3561,0.000118838338067917
"PersonalField27",62,0.94498125,0.00084875,0.94546483580707,142,3561,0.0022070232177166
"PersonalField12",49,0.94483875,0.0010515,0.945078004944399,143,3561,0.00259385408038848
"PersonalField9",46,0.944782,0.00107,0.944966940675692,145,3561,0.00270491834909503
"PersonalField2",39,0.9446565,0.000887,0.945113547719801,144,3561,0.0025583113049864
"PersonalField82",117,0.944349,0.00084275,0.94467782653872,145,3561,0.00299403248606722
"PersonalField26",61,0.94424225,0.001004,0.944502655225286,142,3561,0.00316920379950114
"count_0",280,0.944174,0.0009715,0.944557045562933,114,3561,0.00311481346185416
"CoverageField11B",22,0.944052,0.00086,0.944404675769944,156,3561,0.00326718325484254
"CoverageField11A",21,0.9440425,0.0008665,0.94440007971226,154,3561,0.00327177931252698
"PersonalField84",119,0.9440355,0.00094625,0.944384366156526,144,3561,0.00328749286826147
"PersonalField83",118,0.9438625,0.00089475,0.944194133701305,143,3561,0.00347772532348212
"PersonalField22",57,0.94386175,0.00094025,0.943908598442352,143,3561,0.00376326058243548
"PersonalField28",63,0.94383975,0.0008385,0.943824831450842,142,3561,0.00384702757394462
"PersonalField81",116,0.943826,0.0008605,0.944140731286876,142,3561,0.00353112773791053
"PersonalField25",60,0.94378475,0.00095375,0.943969369336353,143,3561,0.00370248968843367
"PersonalField24",59,0.94358125,0.00084425,0.943655819559367,141,3561,0.0040160394654204
"PersonalField80",115,0.94356875,0.000817,0.943893129493649,143,3561,0.003778729531138
"count_less_0",279,0.9435595,0.001004,0.943666891268908,115,3561,0.00400496775587889
"CoverageField4A",13,0.9435265,0.000805,0.943703841293869,157,3561,0.00396801773091759
"CoverageField1A",7,0.94352525,0.00085525,0.943653852436845,156,3561,0.00401800658794182
"CoverageField4B",14,0.94352325,0.0008115,0.943608181291572,158,3561,0.00406367773321459
"SalesField2A",25,0.94350575,0.00095175,0.943690061844732,150,3561,0.00398179718005509
"SalesField2B",26,0.94349925,0.00092375,0.943712992488771,154,3561,0.00395886653601563
"CoverageField2A",9,0.94348675,0.000912,0.943637144788493,159,3561,0.00403471423629398
"CoverageField2B",10,0.9434835,0.0008145,0.943609416713729,158,3561,0.00406244231105823
"CoverageField1B",8,0.94346625,0.000824,0.943650524094265,157,3561,0.00402133493052181
"PropertyField21A",141,0.943466,0.000904,0.943617508989125,154,3561,0.00405435003566224
"PropertyField21B",142,0.94344475,0.000877,0.94353884365683,156,3561,0.00413301536795674
"PersonalField79",114,0.94326975,0.00076025,0.943523698938966,143,3561,0.00414816008582097
"PersonalField23",58,0.94324825,0.00086275,0.943366456525702,143,3561,0.00430540249908484
"PersonalField13",50,0.94312325,0.0009205,0.943236043141889,142,3561,0.00443581588289832
"SalesField3",27,0.943055,0.0009275,0.943327535956131,142,3561,0.00434432306865606
"CoverageField3A",11,0.94303325,0.00086825,0.943190097024573,156,3561,0.00448176200021388
"CoverageField3B",12,0.94299725,0.00089575,0.943134646321467,156,3561,0.00453721270331975
"CoverageField8",19,0.94295075,0.00081575,0.943143180913855,146,3561,0.00452867811093216
"SalesField10",33,0.94294975,0.0009135,0.943137860867554,143,3561,0.00453399815723288
"CoverageField9",20,0.942884,0.00088375,0.94338724474953,150,3561,0.00428461427525662
"PersonalField15",52,0.9428595,0.00091575,0.943150358816836,148,3561,0.00452150020795072
"PropertyField34",157,0.9428265,0.000847,0.94286407031282,145,3561,0.0048077887119673
"PersonalField47",82,0.94273025,0.00082425,0.943127192675268,143,3561,0.00454466634951889
"PropertyField39B",162,0.9427105,0.00084275,0.942936473897889,155,3561,0.00473538512689775
"SalesField6",29,0.9427035,0.000959,0.943182918639607,148,3561,0.00448894038517966
"PersonalField33",68,0.94269675,0.0008805,0.94304187875515,142,3561,0.00462998026963723
"PropertyField39A",161,0.942669,0.0009085,0.943036450840763,155,3561,0.00463540818402408
"PersonalField77",112,0.94260725,0.00082325,0.942881206927198,142,3561,0.00479065209758867
"PropertyField16B",136,0.9426065,0.0009105,0.94268707690594,154,3561,0.00498478211884701
"GeographicField11B",182,0.94259825,0.00087025,0.942792917428809,152,3561,0.00487894159597824
"PersonalField46",81,0.9425915,0.00088775,0.942874974484619,145,3561,0.00479688454016824
"PersonalField57",92,0.942582,0.0008125,0.942556174163467,140,3561,0.00511568486131975
