"Version","AddedVariable","test_auc_mean","Improvement_test","val_auc","Improvement_val","TimeTaken"
1,"Field7",0.93369025,NA,0.934326358426458,NA,3119
2,"PersonalField1",0.9417705,0.0080802499999999,0.942057691637823,0.0077313332113651,3447
3,"SalesField1B",0.9477005,0.00592999999999999,0.947671859024787,0.00561416738696396,3561
4,"PersonalField27",0.95105725,0.00335675000000002,0.951262605810621,0.00359074678583404,3786
5,"PersonalField2",0.95404125,0.00298399999999999,0.954352093311062,0.00308948750044091,3918
6,"PersonalField12",0.956306,0.00226475000000004,0.956745789867337,0.00239369655627508,4024
7,"PersonalField84",0.95726575,0.000959750000000037,0.957702475731711,0.000956685864373918,4097
8,"PersonalField13",0.95804475,0.000778999999999974,0.958209566159554,0.000507090427843027,4263
9,"SalesField4",0.95886825,0.000823499999999977,0.959197483305176,0.000987917145621964,4356
10,"CoverageField8",0.959643,0.000774750000000046,0.960021147913288,0.000823664608112007,4466
11,"SalesField10",0.96024425,0.000601249999999998,0.960653603614186,0.000632455700897983,4597
12,"SalesField6",0.96076575,0.000521499999999953,0.961355719252727,0.000702115638541057,4618
13,"SalesField3",0.96169125,0.000925500000000024,0.962351838469768,0.000996119217041014,4824
14,"GeographicField11B",0.96213875,0.000447500000000045,0.96279511210383,0.000443273634061936,4936
15,"PropertyField34",0.96252225,0.000383499999999981,0.963231630679736,0.000436518575906097,5167
16,"CoverageField9",0.96280575,0.000283499999999992,0.963395672252718,0.000164041572981999,5245
17,"CoverageField5A",0.96304675,0.000240999999999936,0.963545230775883,0.000149558523165005,5419
18,"PersonalField10B",0.96324225,0.000195500000000015,0.963773127123011,0.000227896347127943,5599
19,"PersonalField11",0.96356075,0.000318499999999999,0.963974554916746,0.000201427793734998,5744
20,"PropertyField35",0.96362025,0.0000594999999999901,0.964278434064352,0.00030387914760599,5582
21,"PropertyField1B",0.9639,0.000279750000000023,0.964370644505017,0.000092210440664986,5800
22,"PropertyField24A",0.96418025,0.000280249999999982,0.964698431568028,0.000327787063011065,5881
