"DroppedVar","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs"
"",1,0.963516,0.000323,139,0.964575822232999,66
"Field6",2,0.963154,0.000339,118,0.964216601262541,64
"Field7",3,0.959369,0.000406,141,0.960150200559027,66
"Field8",4,0.963224,0.000248,149,0.964262478841689,67
"Field9",5,0.963241,0.000232,120,0.964464797535204,64
"Field10",6,0.963131,0.000331,112,0.964125997275546,63
"Field11",7,0.963335,0.000162,143,0.964338345291157,67
"Field12",8,0.963193,0.000288,126,0.964164105074993,65
"CoverageField1A",9,0.96346,0.000553,137,0.96417146728877,66
"CoverageField1B",10,0.963385,0.000147,143,0.964268365412336,66
"CoverageField2A",11,0.963443,0.00034,130,0.964390966409036,65
"CoverageField2B",12,0.963319,0.000311,122,0.964184263200746,64
"CoverageField3A",13,0.963303,0.000534,132,0.964099279729064,65
"CoverageField3B",14,0.963259,0.000339,119,0.964068952312972,64
"CoverageField4A",15,0.963347,0.000426,146,0.9644441190592,67
"CoverageField4B",16,0.963455,0.000536,143,0.964343541467493,67
"CoverageField5A",17,0.963472,0.000319,141,0.964209114118433,66
"CoverageField5B",18,NA,NA,NA,NA,NA
"CoverageField6A",19,NA,NA,NA,NA,NA
"CoverageField6B",20,NA,NA,NA,NA,NA
"CoverageField8",21,NA,NA,NA,NA,NA
"CoverageField9",22,NA,NA,NA,NA,NA
"CoverageField11A",23,NA,NA,NA,NA,NA
"CoverageField11B",24,NA,NA,NA,NA,NA
"SalesField1A",25,NA,NA,NA,NA,NA
"SalesField1B",26,NA,NA,NA,NA,NA
"SalesField2A",27,NA,NA,NA,NA,NA
"SalesField2B",28,NA,NA,NA,NA,NA
"SalesField3",29,NA,NA,NA,NA,NA
"SalesField4",30,NA,NA,NA,NA,NA
"SalesField5",31,NA,NA,NA,NA,NA
"SalesField6",32,NA,NA,NA,NA,NA
"SalesField7",33,NA,NA,NA,NA,NA
"SalesField8",34,NA,NA,NA,NA,NA
"SalesField9",35,NA,NA,NA,NA,NA
"SalesField10",36,NA,NA,NA,NA,NA
"SalesField11",37,NA,NA,NA,NA,NA
"SalesField12",38,NA,NA,NA,NA,NA
"SalesField13",39,NA,NA,NA,NA,NA
"SalesField14",40,NA,NA,NA,NA,NA
"SalesField15",41,NA,NA,NA,NA,NA
"PersonalField1",42,NA,NA,NA,NA,NA
"PersonalField2",43,NA,NA,NA,NA,NA
"PersonalField4A",44,NA,NA,NA,NA,NA
"PersonalField4B",45,NA,NA,NA,NA,NA
"PersonalField5",46,NA,NA,NA,NA,NA
"PersonalField6",47,NA,NA,NA,NA,NA
"PersonalField7",48,NA,NA,NA,NA,NA
"PersonalField8",49,NA,NA,NA,NA,NA
"PersonalField9",50,NA,NA,NA,NA,NA
"PersonalField10A",51,NA,NA,NA,NA,NA
"PersonalField10B",52,NA,NA,NA,NA,NA
"PersonalField11",53,NA,NA,NA,NA,NA
