SelectedVars,N,test_auc_mean,test_auc_std,best_nrounds,val_auc,time_secs
Field6,1,0.684527,0.002043,7,0.676545463,10
Field7,2,0.759601,0.001212,150,0.762404159,13
Field8,3,0.68733,0.002369,112,0.68917771,12
Field9,4,0.646847,0.064523,14,0.676281833,9
Field10,5,0.685747,0.002153,40,0.687004853,10
Field11,6,0.686493,0.002562,12,0.677760772,10
Field12,7,0.587234,0.002598,14,0.585855569,8
CoverageField1A,8,0.607099,0.002446,37,0.606134348,11
CoverageField1B,9,0.607364,0.002806,12,0.606227242,11
CoverageField2A,10,0.605783,0.002171,22,0.604197409,11
CoverageField2B,11,0.605394,0.002192,22,0.603586877,11
CoverageField3A,12,0.587174,0.005103,12,0.59006028,11
CoverageField3B,13,0.586656,0.003745,12,0.588374546,11
CoverageField4A,14,0.613452,0.002611,47,0.610662321,11
CoverageField4B,15,0.612743,0.002001,53,0.611197914,11
CoverageField5A,16,0.600208,0.001198,8,0.601874176,9
CoverageField5B,17,0.601951,0.000205,30,0.606288724,9
CoverageField6A,18,0.675258,0.001456,6,0.651377067,9
CoverageField6B,19,0.676617,0.00145,27,0.675499256,9
CoverageField8,20,0.651429,0.005634,143,0.653768119,10
CoverageField9,21,0.734885,0.001906,55,0.736207197,10
CoverageField11A,22,0.657747,0.00314,33,0.658950523,11
CoverageField11B,23,0.658541,0.003215,55,0.659245326,11
SalesField1A,24,0.70264,0.001616,32,0.701504912,11
SalesField1B,25,0.704113,0.00195,46,0.702842561,11
SalesField2A,26,0.664721,0.003199,22,0.66437398,11
SalesField2B,27,0.665474,0.003143,35,0.665281508,11
SalesField3,28,0.618761,0.001068,8,0.603227912,8
SalesField4,29,0.739793,0.001204,19,0.737555363,10
SalesField5,30,0.789237,0.000827,13,0.787363234,10
SalesField6,31,0.686759,0.003753,76,0.684701138,11
SalesField7,32,0.594692,0.002266,14,0.592073968,10
SalesField8,33,0.572682,0.000239,94,0.576283835,13
SalesField9,34,0.590239,0.005238,8,0.588893527,9
SalesField10,35,0.590761,0.002718,11,0.590361449,10
SalesField11,36,0.594836,0.002996,47,0.595438071,11
SalesField12,37,0.594394,0.002823,74,0.595295057,10
SalesField13,38,0.576639,0.001664,13,0.577947925,9
SalesField14,39,0.577375,0.001692,5,0.578514728,9
SalesField15,40,0.577737,0.001703,5,0.578626404,9
PersonalField1,41,0.599709,0.00409,5,0.598042877,10
PersonalField2,42,0.592111,0.000529,5,0.594237898,9
PersonalField4A,43,0.652778,0.005141,81,0.653045212,12
PersonalField4B,44,0.653224,0.005419,127,0.652647814,12
PersonalField5,45,0.585523,0.004403,15,0.586796697,10
PersonalField6,46,0.584283,0.00448,5,0.585555935,9
PersonalField7,47,0.574542,0.002736,5,0.575012573,9
PersonalField8,48,0.574076,0.002946,2,0.574698461,8
PersonalField9,49,0.80401,0.003362,6,0.654306678,10
PersonalField10A,50,0.812232,0.002114,114,0.814682764,12
PersonalField10B,51,0.811885,0.001884,53,0.814919763,11
PersonalField11,52,0.592054,0.004729,51,0.592543723,9
PersonalField12,53,0.807685,0.003397,12,0.692503036,10
PersonalField13,54,0.589127,0.002643,5,0.589528183,8
PersonalField14,55,0.586913,0.002049,21,0.587121145,10
PersonalField15,56,0.612174,0.003031,74,0.61314628,11
PersonalField16,57,0.614461,0.002105,110,0.614822587,11
PersonalField17,58,0.61112,0.004656,73,0.611579613,11
PersonalField18,59,0.610679,0.002548,145,0.611535052,12
PersonalField19,60,0.608793,0.003499,13,0.609070082,10
PersonalField22,61,0.596229,0.001273,7,0.594858723,9
PersonalField23,62,0.588428,0.001658,7,0.58738704,10
PersonalField24,63,0.592934,0.00164,8,0.594283501,9
PersonalField25,64,0.596205,0.001277,16,0.597290539,9
PersonalField26,65,0.601978,0.001924,10,0.603382965,9
PersonalField27,66,0.613223,0.003178,6,0.607339514,9
PersonalField28,67,0.605052,0.002457,7,0.603346357,9
PersonalField29,68,0.596106,0.002289,35,0.597226105,9
PersonalField30,69,0.577249,0.001888,75,0.577955684,10
PersonalField31,70,0.588771,0.002579,6,0.590031278,9
PersonalField32,71,0.596441,0.002651,6,0.596933119,9
PersonalField33,72,0.597798,0.00342,6,0.597021434,10
PersonalField34,73,0.574933,0.002828,5,0.575543788,8
PersonalField35,74,0.57484,0.002982,85,0.575266277,9
PersonalField36,75,0.574865,0.002905,106,0.575489832,9
PersonalField37,76,0.575088,0.002875,109,0.575585048,9
PersonalField38,77,0.575332,0.002861,88,0.575671001,9
PersonalField39,78,0.574597,0.002897,6,0.575087238,8
PersonalField40,79,0.574902,0.002962,6,0.575275643,8
PersonalField41,80,0.575144,0.003245,6,0.575539964,8
PersonalField42,81,0.57568,0.003415,26,0.576464208,9
PersonalField43,82,0.575144,0.003245,6,0.575540212,9
PersonalField44,83,0.578299,0.001921,54,0.57883438,10
PersonalField45,84,0.58879,0.002621,19,0.590429656,9
PersonalField46,85,0.596163,0.002991,7,0.596960211,9
PersonalField47,86,0.597239,0.003356,6,0.596461825,9
PersonalField48,87,0.596081,0.002755,6,0.596190277,9
PersonalField49,88,0.575164,0.003365,6,0.575601707,9
PersonalField50,89,0.575434,0.003416,19,0.576195993,9
PersonalField51,90,0.575639,0.003231,6,0.575818763,9
PersonalField52,91,0.576003,0.003309,6,0.576201974,9
PersonalField53,92,0.575638,0.003232,6,0.575818763,8
PersonalField54,93,0.576757,0.002649,6,0.577264556,9
PersonalField55,94,0.577733,0.002763,7,0.577947179,9
PersonalField56,95,0.57879,0.002553,7,0.578495171,9
PersonalField57,96,0.580514,0.002406,6,0.579592396,9
PersonalField58,97,0.57882,0.0026,13,0.578718397,9
PersonalField59,98,0.576014,0.002681,8,0.576533066,9
PersonalField60,99,0.576952,0.00233,6,0.577110366,10
PersonalField61,100,0.577418,0.002206,7,0.577706352,9
PersonalField62,101,0.578675,0.00249,6,0.578343542,9
PersonalField63,102,0.577418,0.002203,8,0.578154323,9
PersonalField64,103,0.574076,0.002946,2,0.575076017,9
PersonalField65,104,0.574429,0.002663,3,0.575104228,9
PersonalField66,105,0.574601,0.002703,6,0.575043136,9
PersonalField67,106,0.574764,0.002693,8,0.57525818,9
PersonalField68,107,0.574601,0.002703,6,0.575043136,8
PersonalField69,108,0.574076,0.002946,2,0.574698461,9
PersonalField70,109,0.574076,0.002946,2,0.575211005,8
PersonalField71,110,0.574174,0.002866,3,0.575368894,8
PersonalField72,111,0.574873,0.002902,5,0.575298176,9
PersonalField73,112,0.574174,0.002866,3,0.575368894,8
PersonalField74,113,0.577333,0.002129,6,0.575739941,9
PersonalField75,114,0.588671,0.002509,6,0.589058186,10
PersonalField76,115,0.595873,0.002941,7,0.595870824,9
PersonalField77,116,0.596431,0.003529,7,0.596662192,10
PersonalField78,117,0.596488,0.002929,7,0.596561283,9
PersonalField79,118,0.589259,0.002028,7,0.588740434,8
PersonalField80,119,0.593659,0.001954,8,0.596006787,9
PersonalField81,120,0.597435,0.00155,8,0.599716467,9
PersonalField82,121,0.603831,0.002531,6,0.59718597,9
PersonalField83,122,0.597467,0.001561,24,0.599733642,9
PersonalField84,123,0.584881,0.004158,35,0.585342821,10
PropertyField1A,124,0.623947,0.002551,63,0.625271323,11
PropertyField1B,125,0.623125,0.001908,34,0.624580114,11
PropertyField2A,126,0.577029,0.002774,5,0.577960487,8
PropertyField2B,127,0.593868,0.004011,15,0.596852112,11
PropertyField3,128,0.580247,0.005375,5,0.580908556,9
PropertyField4,129,0.580238,0.005146,5,0.580586826,10
PropertyField5,130,0.574076,0.002946,2,0.574857649,10
PropertyField7,131,0.639546,0.00109,59,0.641905047,13
PropertyField8,132,0.610136,0.002746,13,0.609753017,10
PropertyField9,133,0.574076,0.002946,2,0.574698461,10
PropertyField10,134,0.574419,0.002873,9,0.574796269,10
PropertyField11A,135,0.575991,0.003001,5,0.576602864,10
PropertyField11B,136,0.59411,0.002462,6,0.594149756,10
PropertyField12,137,0.611828,0.004239,12,0.611614082,11
