"SelectedVars","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs"
"Field6",1,0.865501,0.001595,149,0.865170435621042,16
"Field7",2,0.89628,0.001928,150,0.896473110697063,18
"Field8",3,0.865712,0.001856,149,0.865998458427586,18
"Field9",4,0.853919,0.020109,149,0.864409045408757,16
"Field10",5,0.865685,0.001865,150,0.865494682075587,17
"Field11",6,0.865809,0.001846,150,0.865539823761107,17
"Field12",7,0.818162,0.002956,145,0.819918145886571,15
"CoverageField1A",8,0.823673,0.001726,149,0.826611524511273,18
"CoverageField1B",9,0.823813,0.001695,150,0.826426557252539,18
"CoverageField2A",10,0.823342,0.001738,149,0.825923239364006,18
"CoverageField2B",11,0.823062,0.001497,149,0.825497768109236,18
"CoverageField3A",12,0.814648,0.003529,103,0.818354153298077,17
"CoverageField3B",13,0.814653,0.003215,120,0.818636214173208,18
"CoverageField4A",14,0.826682,0.001886,149,0.828739105775393,18
"CoverageField4B",15,0.826553,0.00142,149,0.828614791035318,18
"CoverageField5A",16,0.827071,0.001072,139,0.830044015801043,15
"CoverageField5B",17,0.827311,0.001017,147,0.830224879638245,15
"CoverageField6A",18,0.85906,0.001888,120,0.860343162741967,15
"CoverageField6B",19,0.859371,0.001908,118,0.860552468858268,15
"CoverageField8",20,0.844424,0.003048,110,0.84818940635264,15
"CoverageField9",21,0.879978,0.001766,147,0.880449521839455,17
"CoverageField11A",22,0.845605,0.001271,149,0.848931189250829,18
"CoverageField11B",23,0.845943,0.001279,149,0.849120051328289,18
"SalesField1A",24,0.8725,0.001742,149,0.872913385955382,17
"SalesField1B",25,0.872831,0.001849,149,0.8733322493982,18
"SalesField2A",26,0.854285,0.002679,149,0.855024790854731,17
"SalesField2B",27,0.854337,0.002558,149,0.855347399333833,18
"SalesField3",28,0.824186,0.00158,149,0.826025270813155,15
"SalesField4",29,0.883085,0.00169,150,0.883980940021105,16
"SalesField5",30,0.900399,0.000502,149,0.900725334856221,16
"SalesField6",31,0.865215,0.002148,134,0.86628328666377,17
"SalesField7",32,0.816412,0.000825,149,0.819224479866585,17
"SalesField8",33,0.810728,0.001234,116,0.815091916407108,18
"SalesField9",34,0.815095,0.0024,149,0.818088537727244,15
"SalesField10",35,0.814796,0.002069,136,0.816967205688782,15
"SalesField11",36,0.816666,0.002392,146,0.819022146135161,16
"SalesField12",37,0.816584,0.00207,146,0.818981834125116,16
"SalesField13",38,0.812344,0.001584,145,0.815517412339474,15
