SelectedVars,N,test_auc_mean,test_auc_std,best_nrounds,val_auc,time_secs,Avg_AUC,Max_Diff,MissingValues,UniqueCount
SalesField1B,24,0.947762,0.000254,112,0.947628386,25,0.947695,0.000000,0,25
SalesField1A,23,0.947633,0.000228,127,0.947544592,25,0.947589,0.000106,0,25
PersonalField27,62,0.945046,0.00032,149,0.945323563,24,0.945185,0.002510,0,17
PersonalField2,39,0.944876,3.00E-05,148,0.945169055,24,0.945023,0.002673,0,2
PersonalField12,49,0.944913,0.000291,117,0.944974571,23,0.944944,0.002751,0,5
PersonalField9,46,0.944818,0.000325,123,0.945026983,23,0.944922,0.002773,0,3
PersonalField82,117,0.944482,0.000116,128,0.944661166,23,0.944572,0.003124,0,14
PersonalField26,61,0.944428,0.000261,120,0.944350654,23,0.944389,0.003306,0,14
CoverageField11B,22,0.944048,0.000157,126,0.944400152,25,0.944224,0.003471,765,25
PersonalField84,119,0.944108,0.000149,150,0.944293195,23,0.944201,0.003495,124208,7
CoverageField11A,21,0.943898,8.70E-05,103,0.944393852,25,0.944146,0.003549,765,25
PersonalField83,118,0.944042,0.00013,148,0.944142607,23,0.944092,0.003603,0,7
PersonalField81,116,0.943947,7.00E-05,146,0.944104626,23,0.944026,0.003669,0,14
PersonalField22,57,0.944035,0.000109,131,0.943841983,23,0.943938,0.003757,0,7
PersonalField25,60,0.943925,6.20E-05,129,0.943900413,25,0.943913,0.003782,0,14
PersonalField28,63,0.943943,0.000156,128,0.943822322,23,0.943883,0.003813,0,7
PersonalField80,115,0.943749,2.90E-05,141,0.943908017,23,0.943829,0.003867,0,14
SalesField2A,25,0.943601,3.40E-05,114,0.943852188,25,0.943727,0.003969,362,25
PersonalField24,59,0.943755,0.000206,131,0.943638946,25,0.943697,0.003998,0,14
SalesField2B,26,0.943463,3.50E-05,112,0.943877669,25,0.943670,0.004025,362,25
CoverageField1A,7,0.943569,0.000161,116,0.943678239,25,0.943624,0.004072,362,25
PropertyField21A,143,0.943582,0.000138,126,0.943649842,26,0.943616,0.004079,5,25
CoverageField4A,13,0.943556,0.000211,112,0.943630414,25,0.943593,0.004102,0,25
CoverageField1B,8,0.943546,0.000173,115,0.943624737,25,0.943585,0.004110,362,25
CoverageField4B,14,0.943473,7.10E-05,126,0.943693897,25,0.943583,0.004112,0,25
CoverageField2A,9,0.943546,6.20E-05,113,0.943606355,25,0.943576,0.004119,0,25
CoverageField2B,10,0.943528,9.80E-05,112,0.943562962,24,0.943545,0.004150,0,25
