"SelectedVars","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs","Avg_AUC","Max_Diff","MissingValues","UniqueCount"
"PersonalField27",61,0.951221,0.000265,108,0.951317237333211,25,0.951269118666606,0,0,17
"PersonalField2",38,0.950762,0.000301,95,0.950836141041614,24,0.950799070520807,0.00047004814579843,0,2
"PersonalField82",116,0.950598,0.000202,107,0.95061623049955,24,0.950607115249775,0.000662003416830315,0,14
"PersonalField26",60,0.950556,0.000187,76,0.950167667376993,24,0.950361833688496,0.000907284978109102,0,14
"PersonalField12",48,0.950251,0.000471,66,0.950213843593613,24,0.950232421796807,0.00103669686979901,0,5
"PersonalField9",45,0.95029,0.000512,78,0.950162964366993,24,0.950226482183496,0.00104263648310932,0,3
"PersonalField84",118,0.950271,8e-05,101,0.950045524458171,25,0.950158262229086,0.00111085643752007,124208,7
"PersonalField83",117,0.950107,0.000371,98,0.950048110593128,24,0.950077555296564,0.00119156337004145,0,7
"PersonalField81",115,0.950114,0.000279,89,0.950032684782021,24,0.95007334239101,0.0011957762755952,0,14
"PersonalField28",62,0.950165,0.000158,94,0.949742017788032,24,0.949953508894016,0.00131560977258938,0,7
"PersonalField22",56,0.950097,0.000177,76,0.949678016635255,24,0.949887508317628,0.00138161034897788,0,7
"PersonalField25",59,0.950096,0.000203,76,0.949631691581884,24,0.949863845790942,0.00140527287566372,0,14
"PersonalField80",114,0.949814,0.000219,94,0.94980937335874,24,0.94981168667937,0.00145743198723558,0,14
"PersonalField24",58,0.949802,0.000191,98,0.949634771847145,24,0.949718385923572,0.00155073274303319,0,14
"PersonalField79",113,0.949471,0.000294,85,0.949375574572037,24,0.949423287286019,0.00184583138058692,0,13
"PersonalField23",57,0.949406,4e-05,112,0.949222438713204,24,0.949314219356602,0.00195489931000381,0,13
"PersonalField13",49,0.949016,0.000229,77,0.948630155005912,24,0.948823077502956,0.00244604116364977,0,4
"SalesField6",28,0.948766,0.00012,98,0.94882991301324,25,0.94879795650662,0.00247116215998577,0,24
"PersonalField47",81,0.948692,0.000326,111,0.94870412301562,25,0.94869806150781,0.00257105715879535,0,12
"SalesField10",32,0.948754,0.000324,78,0.948509931541364,24,0.948631965770682,0.0026371528959237,0,19
"CoverageField9",20,0.94855,0.000336,115,0.948610197771214,26,0.948580098885607,0.00268901978099856,0,12
"PersonalField33",67,0.948646,0.000271,104,0.948503672300457,25,0.948574836150229,0.00269428251637693,0,12
"CoverageField8",19,0.948561,4.6e-05,105,0.948555031969028,24,0.948558015984514,0.00271110268209185,0,7
"PersonalField77",111,0.948585,0.000245,107,0.948460764322975,25,0.948522882161488,0.00274623650511807,0,11
"PersonalField45",79,0.948467,0.000187,111,0.948523369070839,25,0.94849518453542,0.00277393413118587,0,12
"PersonalField46",80,0.948557,0.000295,96,0.948387335171713,25,0.948472167585857,0.00279695108074907,0,12
"PersonalField31",65,0.948448,0.00022,102,0.948450720926936,24,0.948449360463468,0.00281975820313751,0,12
"PersonalField75",109,0.948543,0.000146,94,0.948335245393326,24,0.948439122696663,0.00282999596994271,0,9
"PersonalField76",110,0.94847,0.000199,98,0.948315334043534,24,0.948392667021767,0.00287645164483874,0,10
"PersonalField57",91,0.948573,0.00038,90,0.948186521811563,24,0.948379760905781,0.00288935776082422,0,13
"PersonalField32",66,0.948436,0.000277,98,0.94831289269666,24,0.94837444634833,0.00289467231827567,0,12
"PersonalField48",82,0.948398,0.000255,108,0.948337889366399,25,0.948367944683199,0.00290117398340617,0,7
"PersonalField29",63,0.948355,0.000406,107,0.948351703807597,25,0.948353351903798,0.00291576676280725,0,7
"SalesField11",33,0.948414,0.00018,87,0.948263162135022,24,0.948338581067511,0.00293053759909478,0,20
"CoverageField6A",17,0.948352,0.000135,98,0.948272068048113,25,0.948312034024057,0.00295708464254885,0,3
"CoverageField6B",18,0.948352,0.000135,98,0.948272068048113,25,0.948312034024057,0.00295708464254885,0,4
"GeographicField11B",184,0.948463,0.000129,91,0.948134341612921,25,0.94829867080646,0.00297044786014511,2,24
"SalesField12",34,0.948347,0.000271,76,0.948243552121813,24,0.948295276060907,0.00297384260569888,0,22
"PersonalField78",112,0.94834,0.000163,102,0.948211980607848,24,0.948275990303924,0.0029931283626814,0,7
"PersonalField58",92,0.94843,0.00036,95,0.948094254593147,24,0.948262127296573,0.00300699137003224,0,7
"CoverageField5A",15,0.948339,0.000358,98,0.948175051934792,25,0.948257025967396,0.00301209269920977,0,3
"CoverageField5B",16,0.948339,0.000358,98,0.948175051934792,24,0.948257025967396,0.00301209269920977,0,4
"SalesField3",26,0.948333,0.000339,98,0.948169469785429,25,0.948251234892714,0.00301788377389123,0,2
"GeographicField27B",216,0.948297,0.000193,88,0.948190229620382,25,0.948243614810191,0.00302550385641465,2,23
"GeographicField24B",210,0.948213,0.000241,78,0.948271155362644,25,0.948242077681322,0.0030270409852835,2,24
"PersonalField56",90,0.94846,0.000359,76,0.948015416614076,23,0.948237708307038,0.00303141035956755,0,12
"PersonalField44",78,0.948242,0.000229,110,0.948231088971798,24,0.948236544485899,0.00303257418070668,0,12
"GeographicField13A",187,0.948295,0.00025,85,0.948176894271578,25,0.948235947135789,0.00303317153081673,2,24
"PersonalField11",47,0.948234,0.000218,94,0.948233113884237,24,0.948233556942118,0.00303556172448727,0,5
"GeographicField7B",177,0.948295,0.000266,94,0.948144956835133,25,0.948219978417566,0.00304914024903935,2,23
"PropertyField35",159,0.948267,0.000202,107,0.948149790559275,25,0.948208395279638,0.00306072338696795,0,3
"GeographicField11A",183,0.948371,0.000261,76,0.948037862430109,24,0.948204431215054,0.0030646874515512,2,25
"PersonalField55",89,0.948308,0.000323,107,0.94808860380922,24,0.94819830190461,0.00307081676199572,0,11
"SalesField4",27,0.948223,0.000405,98,0.948169146084773,24,0.948196073042387,0.00307304562421895,0,5
"GeographicField16B",194,0.948225,8.6e-05,94,0.948155752319472,25,0.948190376159736,0.00307874250686946,2,25
"GeographicField41B",244,0.94826,2e-04,98,0.948117896308623,25,0.948188948154312,0.00308017051229403,24,25
"GeographicField13B",188,0.948244,0.000291,78,0.948113948278829,25,0.948178974139415,0.00309014452719092,2,24
"GeographicField26B",214,0.948193,0.00022,79,0.948160036581513,25,0.948176518290757,0.00309260037584891,2,24
"PersonalField30",64,0.948183,0.000301,111,0.948159845330143,25,0.948171422665072,0.00309769600153398,0,12
"GeographicField25B",212,0.948141,0.000229,76,0.948193314127105,25,0.948167157063552,0.0031019616030532,2,24
"GeographicField8B",179,0.948346,0.000192,87,0.947975176901676,25,0.948160588450838,0.00310853021576774,2,24
"PropertyField34",158,0.948342,0.000154,72,0.947973333408127,24,0.948157666704064,0.00311145196254203,0,3
"GeographicField6B",175,0.948253,0.000131,91,0.948062290743962,25,0.948157645371981,0.00311147329462469,2,25
"GeographicField16A",193,0.948315,0.000197,87,0.947965858988405,25,0.948140429494202,0.00312868917240328,2,25
"GeographicField12A",185,0.948258,0.000122,76,0.948019661160611,25,0.948138830580305,0.00313028808630011,2,25
"GeographicField5B",173,0.948204,0.000178,76,0.94804953859616,24,0.94812676929808,0.00314234936852542,2,13
"GeographicField26A",213,0.948156,0.000279,78,0.948091007561318,25,0.948123503780659,0.00314561488594656,2,25
"GeographicField21B",204,0.948208,0.000293,89,0.94803605730251,25,0.948122028651255,0.00314709001535041,2,22
"GeographicField12B",186,0.948219,0.000219,78,0.948024956240125,25,0.948121978120062,0.00314714054654308,2,23
"PersonalField10B",46,0.948132,0.000366,69,0.948100985600286,24,0.948116492800143,0.0031526258664627,54785,25
"PersonalField74",108,0.948282,0.000223,78,0.947949823177967,24,0.948115911588984,0.0031532070776219,0,8
"PersonalField62",96,0.948076,0.000134,100,0.948108069998313,24,0.948092034999157,0.00317708366744907,0,7
"GeographicField25A",211,0.948096,0.00024,77,0.948086757423765,25,0.948091378711883,0.00317773995472292,2,24
"GeographicField8A",178,0.948181,8.8e-05,85,0.948000977328433,25,0.948090988664216,0.0031781300023892,2,25
"GeographicField43A",247,0.94821,0.000279,79,0.947970328718004,25,0.948090164359002,0.00317895430760351,2,25
"GeographicField27A",215,0.948118,0.000301,76,0.9480469709694,25,0.9480824854847,0.00318663318190548,2,24
"GeographicField45B",252,0.94809,0.000242,90,0.948073570526126,25,0.948081785263063,0.00318733340354282,19,25
"GeographicField15B",192,0.948113,0.000123,94,0.948038590226401,25,0.9480757951132,0.00319332355340518,2,23
"GeographicField47A",255,0.948059,0.000199,109,0.948085111350986,25,0.948072055675493,0.00319706299111266,65,25
"GeographicField24A",209,0.948101,0.000223,79,0.948031062788405,25,0.948066031394203,0.00320308727240293,2,24
"PersonalField54",88,0.948221,0.000336,78,0.947898364606219,23,0.948059682303109,0.00320943636349624,0,11
"PropertyField33",157,0.948037,0.000211,78,0.948080271843032,25,0.948058635921516,0.00321048274508973,0,4
"GeographicField43B",248,0.948079,0.000197,87,0.948029690482708,25,0.948054345241354,0.00321477342525156,2,25
