eta,max_depth,min_child_weight,subsample,colsample_bytree,nrounds_auc_mean,test_auc_mean,nrounds_auc_mean_sd,test_auc_mean_sd,val_auc_mean,val_auc_mean_sd,time_secs
0.02,6,1,0.5,0.5,1025,0.963978,1050,0.96367,0.964827115,0.964843096,498
0.02,8,1,0.5,0.5,693,0.963574,641,0.963131,0.964583001,0.964565932,594
0.02,10,1,0.5,0.5,573,0.96335,573,0.963114,0.964503425,0.964503425,719
0.02,12,1,0.5,0.5,587,0.963029,416,0.96258,0.96404147,0.964082093,877
0.02,6,5,0.5,0.5,1140,0.964057,987,0.963563,0.964890905,0.964778593,502
0.02,8,5,0.5,0.5,870,0.963833,870,0.963575,0.964911094,0.964911094,601
0.02,10,5,0.5,0.5,611,0.96371,637,0.9633,0.964821454,0.964853865,689
0.02,12,5,0.5,0.5,539,0.963385,533,0.963103,0.964713347,0.964699606,784
0.02,6,10,0.5,0.5,1127,0.964005,1129,0.963736,0.964806735,0.964810768,498
0.02,8,10,0.5,0.5,796,0.963816,763,0.963541,0.964861379,0.964854189,578
0.02,10,10,0.5,0.5,666,0.963718,665,0.96334,0.964893596,0.964882318,678
0.02,12,10,0.5,0.5,562,0.963517,565,0.963151,0.964722352,0.964717749,761
0.02,6,1,0.7,0.5,1135,0.964365,1135,0.964168,0.965142459,0.965142459,505
0.02,8,1,0.7,0.5,742,0.964066,749,0.963681,0.965106586,0.965108633,605
0.02,10,1,0.7,0.5,597,0.963816,593,0.963459,0.964763853,0.964753894,738
0.02,12,1,0.7,0.5,593,0.963476,592,0.963175,0.964354149,0.964352277,904
0.02,6,5,0.7,0.5,1136,0.964385,1136,0.96403,0.965248733,0.965248733,500
0.02,8,5,0.7,0.5,818,0.96421,816,0.963844,0.965208805,0.965209461,602
0.02,10,5,0.7,0.5,693,0.964118,695,0.963804,0.965137578,0.965142673,724
0.02,12,5,0.7,0.5,583,0.963827,468,0.963449,0.965017127,0.964980645,835
0.02,6,10,0.7,0.5,1135,0.964307,1144,0.963977,0.965290466,0.965299708,501
0.02,8,10,0.7,0.5,818,0.964277,819,0.963874,0.96517695,0.965173125,595
0.02,10,10,0.7,0.5,709,0.964237,709,0.963823,0.965290498,0.965290498,710
0.02,12,10,0.7,0.5,585,0.964051,609,0.96373,0.965188554,0.965209424,811
0.02,6,1,0.9,0.5,1199,0.964409,1195,0.964047,0.965335632,0.96532843,501
0.02,8,1,0.9,0.5,902,0.964214,791,0.96388,0.965172114,0.965144046,618
0.02,10,1,0.9,0.5,652,0.963869,528,0.963395,0.964980912,0.964834954,738
0.02,12,1,0.9,0.5,524,0.963438,551,0.962902,0.964365918,0.964382906,886
0.02,6,5,0.9,0.5,1198,0.964407,1195,0.964055,0.965380604,0.965379349,497
0.02,8,5,0.9,0.5,834,0.964421,834,0.964037,0.965395247,0.965395247,594
0.02,10,5,0.9,0.5,656,0.964214,687,0.963783,0.965256827,0.965298044,716
0.02,12,5,0.9,0.5,564,0.963889,561,0.963495,0.965035074,0.965021374,831
0.02,6,10,0.9,0.5,1199,0.964421,1199,0.963959,0.96541621,0.96541621,497
0.02,8,10,0.9,0.5,834,0.964403,823,0.963997,0.965385146,0.965387433,588
0.02,10,10,0.9,0.5,804,0.964348,821,0.963849,0.96539418,0.965369619,728
0.02,12,10,0.9,0.5,594,0.964129,626,0.963674,0.965296409,0.965291636,823
0.02,6,1,0.5,0.7,1126,0.963909,1034,0.963656,0.964893661,0.964853035,655
0.02,8,1,0.5,0.7,763,0.9637,838,0.963278,0.964722461,0.964734468,801
0.02,10,1,0.5,0.7,575,0.963596,571,0.963214,0.964562261,0.964562915,931
0.02,12,1,0.5,0.7,426,0.963235,532,0.962871,0.964362856,0.964316988,1107
0.02,6,5,0.5,0.7,1122,0.963899,1046,0.963481,0.96495576,0.964926388,657
0.02,8,5,0.5,0.7,687,0.963722,660,0.963391,0.964724812,0.964676862,753
0.02,10,5,0.5,0.7,549,0.963807,549,0.963489,0.96462887,0.96462887,883
0.02,12,5,0.5,0.7,549,0.96357,486,0.963261,0.964618274,0.964573414,1028
0.02,6,10,0.5,0.7,1123,0.963811,1128,0.963537,0.964958565,0.96496493,655
0.02,8,10,0.5,0.7,845,0.96381,843,0.963487,0.964794787,0.964784851,786
0.02,10,10,0.5,0.7,570,0.963768,570,0.963437,0.964778804,0.964778804,862
0.02,12,10,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.02,6,1,0.7,0.7,NA,NA,NA,NA,NA,NA,NA
0.02,8,1,0.7,0.7,694,0.964068,608,0.963708,0.965015393,0.964914654,757
0.02,10,1,0.7,0.7,560,0.963899,568,0.963496,0.964838095,0.964818383,933
0.02,12,1,0.7,0.7,490,0.963487,516,0.963123,0.964621421,0.964592646,1116
0.02,6,5,0.7,0.7,1122,0.964253,1140,0.963962,0.965182213,0.965192238,637
0.02,8,5,0.7,0.7,834,0.964141,831,0.963812,0.965143449,0.965138514,770
0.02,10,5,0.7,0.7,549,0.963997,563,0.963809,0.965166023,0.965158931,888
0.02,12,5,0.7,0.7,535,0.963985,568,0.963545,0.964916163,0.964890201,1061
0.02,6,10,0.7,0.7,1138,0.964117,1144,0.963831,0.965240167,0.965239117,636
0.02,8,10,0.7,0.7,812,0.96419,726,0.963866,0.965239835,0.96518663,759
0.02,10,10,0.7,0.7,687,0.964098,553,0.963844,0.965166268,0.965114704,904
0.02,12,10,0.7,0.7,553,0.964039,553,0.963707,0.965099008,0.965099008,1022
0.02,6,1,0.9,0.7,1195,0.964418,1195,0.964115,0.965414546,0.965414546,633
0.02,8,1,0.9,0.7,819,0.964208,819,0.963889,0.965165313,0.965165313,765
0.02,10,1,0.9,0.7,553,0.963887,492,0.963547,0.964863749,0.964848011,907
0.02,12,1,0.9,0.7,453,0.963441,451,0.963062,0.964603535,0.964600963,1082
0.02,6,5,0.9,0.7,1157,0.964357,1154,0.96404,0.965320136,0.965317588,623
0.02,8,5,0.9,0.7,836,0.964239,838,0.963838,0.965374124,0.965374576,755
0.02,10,5,0.9,0.7,604,0.964096,564,0.963751,0.965183271,0.965170223,886
0.02,12,5,0.9,0.7,552,0.963829,538,0.963543,0.965026441,0.965011307,1054
0.02,6,10,0.9,0.7,1196,0.964359,1196,0.964089,0.965356094,0.965356094,628
0.02,8,10,0.9,0.7,844,0.964332,819,0.96386,0.965367245,0.965360031,749
0.02,10,10,0.9,0.7,676,0.964217,676,0.963932,0.965400264,0.965400264,890
0.02,12,10,0.9,0.7,510,0.964094,524,0.963681,0.965139244,0.965143022,1015
0.02,6,1,0.5,0.9,1004,0.964008,1011,0.963868,0.964842869,0.964842433,766
0.02,8,1,0.5,0.9,654,0.963813,568,0.963529,0.964604474,0.964504522,914
0.02,10,1,0.5,0.9,586,0.963557,570,0.963306,0.964602145,0.96459481,1128
0.02,12,1,0.5,0.9,468,0.963314,491,0.963005,0.964373317,0.964343265,1309
0.02,6,5,0.5,0.9,1041,0.963998,994,0.963702,0.964912901,0.964865517,765
0.02,8,5,0.5,0.9,769,0.963899,763,0.96362,0.964776734,0.964764662,925
0.02,10,5,0.5,0.9,559,0.963756,559,0.963439,0.964776129,0.964776129,1063
0.02,12,5,0.5,0.9,548,0.96361,553,0.963394,0.964570211,0.964570213,1242
0.02,6,10,0.5,0.9,1192,0.963806,1145,0.963494,0.964953818,0.96494777,794
0.02,8,10,0.5,0.9,765,0.963775,636,0.963477,0.964677815,0.96465667,911
0.02,10,10,0.5,0.9,550,0.963665,572,0.963406,0.964796724,0.96480311,1042
0.02,12,10,0.5,0.9,548,0.963633,502,0.963356,0.964751043,0.964778052,1198
0.02,6,1,0.7,0.9,1132,0.964258,1096,0.964003,0.965271263,0.96528863,792
0.02,8,1,0.7,0.9,786,0.964099,597,0.963831,0.965030131,0.964919104,979
0.02,10,1,0.7,0.9,549,0.963774,503,0.963422,0.964942285,0.964889921,1152
0.02,12,1,0.7,0.9,525,0.963471,489,0.963124,0.964659853,0.964596489,1395
0.02,6,5,0.7,0.9,1128,0.964191,1121,0.963777,0.965249528,0.965245874,800
0.02,8,5,0.7,0.9,795,0.964147,795,0.963744,0.965196218,0.965196218,965
0.02,10,5,0.7,0.9,537,0.963953,537,0.963579,0.965013976,0.965013976,1110
0.02,12,5,0.7,0.9,553,0.963751,566,0.963363,0.964894537,0.964898155,1334
0.02,6,10,0.7,0.9,1124,0.964095,1132,0.963735,0.965229202,0.965230029,800
0.02,8,10,0.7,0.9,813,0.964116,882,0.963796,0.965313146,0.965349794,972
0.02,10,10,0.7,0.9,555,0.964122,555,0.963773,0.96511109,0.96511109,1079
0.02,12,10,0.7,0.9,545,0.963971,568,0.963743,0.964905888,0.964920335,1279
0.02,6,1,0.9,0.9,1198,0.964357,1196,0.964134,0.965388921,0.965387988,792
0.02,8,1,0.9,0.9,841,0.964156,797,0.96379,0.965236085,0.96522691,955
0.02,10,1,0.9,0.9,NA,NA,NA,NA,NA,NA,NA
0.02,12,1,0.9,0.9,NA,NA,NA,NA,NA,NA,NA
0.02,6,5,0.9,0.9,NA,NA,NA,NA,NA,NA,NA
0.02,8,5,0.9,0.9,NA,NA,NA,NA,NA,NA,NA
0.02,10,5,0.9,0.9,NA,NA,NA,NA,NA,NA,NA
