"eta","max_depth","min_child_weight","subsample","colsample_bytree","nrounds_auc_mean","test_auc_mean","nrounds_auc_mean_sd","test_auc_mean_sd","val_auc_mean","val_auc_mean_sd","time_secs"
0.03,6,1,0.5,0.5,731,0.963724,763,0.963269,0.964733103542396,0.964735933946996,396
0.02,6,1,0.5,0.5,995,0.963963,993,0.963661,0.964797753831627,0.964799252995592,423
0.01,6,1,0.5,0.5,1000,0.962756,1000,0.962396,0.963282804880748,0.963282804880748,420
0.03,8,1,0.5,0.5,418,0.963307,360,0.96303,0.964472035975413,0.964193656689155,464
0.02,8,1,0.5,0.5,693,0.963574,641,0.963131,0.964583000714362,0.96456593172238,508
0.01,8,1,0.5,0.5,1000,0.963637,1000,0.963289,0.96430889142341,0.96430889142341,550
0.03,10,1,0.5,0.5,367,0.96311,367,0.962769,0.964056955530965,0.964056955530965,573
0.02,10,1,0.5,0.5,573,0.96335,573,0.963114,0.964503424913725,0.964503424913725,615
0.01,10,1,0.5,0.5,998,0.963687,1000,0.963367,0.964561061560225,0.964567529982317,696
0.03,12,1,0.5,0.5,301,0.962675,301,0.962478,0.963817126891329,0.963817126891329,667
0.02,12,1,0.5,0.5,587,0.963029,416,0.96258,0.96404146976101,0.964082092940119,753
0.01,12,1,0.5,0.5,996,0.963353,973,0.962983,0.964301335451944,0.964297984311507,859
0.03,6,5,0.5,0.5,667,0.963753,763,0.963397,0.964814540573603,0.964864815584706,393
0.02,6,5,0.5,0.5,999,0.963995,987,0.963563,0.964793448747864,0.96477859322058,422
0.01,6,5,0.5,0.5,1000,0.962745,1000,0.96233,0.96332349765839,0.96332349765839,418
0.03,8,5,0.5,0.5,467,0.963616,467,0.9633,0.964665092858629,0.964665092858629,459
0.02,8,5,0.5,0.5,870,0.963833,870,0.963575,0.96491109359641,0.96491109359641,570
0.01,8,5,0.5,0.5,999,0.963604,999,0.963257,0.964462119437642,0.964462119437642,536
0.03,10,5,0.5,0.5,374,0.963473,375,0.963119,0.964470003158432,0.964490676814592,542
0.02,10,5,0.5,0.5,611,0.96371,637,0.9633,0.964821454349188,0.964853864708628,596
0.01,10,5,0.5,0.5,996,0.963843,997,0.963465,0.964729638268076,0.964727241649346,661
0.03,12,5,0.5,0.5,397,0.963121,346,0.962748,0.964215900650163,0.964229385992481,637
0.02,12,5,0.5,0.5,539,0.963385,533,0.963103,0.964713347391548,0.964699605633583,675
0.01,12,5,0.5,0.5,997,0.963713,997,0.963387,0.964736863598313,0.964736863598313,786
0.03,6,10,0.5,0.5,701,0.963698,883,0.963271,0.96478222853896,0.9648412024027,407
0.02,6,10,0.5,0.5,993,0.963921,999,0.963687,0.964694239413186,0.964698077743353,421
0.01,6,10,0.5,0.5,999,0.962622,999,0.96228,0.96325019459422,0.96325019459422,416
0.03,8,10,0.5,0.5,571,0.963745,511,0.963336,0.96482501409243,0.964806628319343,469
0.02,8,10,0.5,0.5,796,0.963816,763,0.963541,0.964861379422238,0.964854188987665,504
0.01,8,10,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,10,10,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,10,10,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,10,10,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,12,10,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,12,10,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,12,10,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,6,1,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,6,1,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,6,1,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,8,1,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,8,1,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,8,1,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,10,1,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,10,1,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,10,1,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,12,1,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,12,1,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,12,1,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,6,5,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,6,5,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,6,5,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,8,5,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,8,5,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,8,5,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,10,5,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,10,5,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,10,5,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,12,5,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,12,5,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,12,5,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,6,10,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,6,10,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,6,10,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,8,10,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,8,10,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,8,10,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,10,10,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,10,10,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,10,10,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,12,10,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,12,10,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,12,10,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,6,1,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,6,1,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,6,1,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,8,1,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,8,1,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,8,1,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,10,1,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,10,1,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,10,1,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,12,1,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,12,1,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,12,1,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,6,5,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,6,5,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,6,5,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,8,5,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,8,5,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,8,5,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,10,5,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,10,5,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,10,5,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,12,5,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,12,5,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,12,5,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,6,10,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,6,10,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,6,10,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,8,10,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,8,10,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,8,10,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,10,10,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,10,10,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,10,10,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,12,10,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.02,12,10,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.01,12,10,0.9,0.5,NA,NA,NA,NA,NA,NA,NA
0.03,6,1,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.02,6,1,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.01,6,1,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.03,8,1,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.02,8,1,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.01,8,1,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.03,10,1,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.02,10,1,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.01,10,1,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.03,12,1,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.02,12,1,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.01,12,1,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.03,6,5,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.02,6,5,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.01,6,5,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.03,8,5,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.02,8,5,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.01,8,5,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.03,10,5,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
0.02,10,5,0.5,0.7,NA,NA,NA,NA,NA,NA,NA
